Type,Perm,Density,ABSvol,Bulk,D50
Gravel 6/10,2703,2.653,0.0452,100,2677
Gravel 8/12,1969,2.653,0.0452,100,2029
Gravel 10/20,652,2.653,0.0452,100,1420
Gravel 12/20,518,2.653,0.0452,96,1260
Gravel 16/25,391,2.653,0.0452,100,986
Gravel 16/30,398,2.653,0.0452,99,892
Gravel 20/40,136,2.653,0.0452,102,630
Gravel 30/40,138,2.653,0.0452,100,505
Gravel 30/50,100,2.653,0.0452,102,445
Gravel 40/60,60,2.653,0.0452,100,335
Gravel 50/70,32,2.653,0.0452,100,254
Econoprop 20/40,340,2.682,0.0447,96,635
Econoprop 30/50,230,2.701,0.0444,96,512
Econoprop 40/70,78,2.701,0.0444,96,308
Carbolite 12/18,2003,2.707,0.0443,97,1374
Carbolite 12/20,0,0.000,0,0,0
Carbolite 16/20,1288,2.707,0.0443,97,1001
Carbolite 16/30,0,0.000,0,0,0
Carbolite 20/40,570,2.707,0.0443,97,730
Carbolite 30/50,250,2.707,0.0443,97,522
Carbolite 40/70,135,2.707,0.0443,97,334
Kryptosphere LD 20,343,2.700,0.0442,96,960
Kryptosphere LD 25,231,2.700,0.0442,96,815
Kryptosphere LD 35,115,2.700,0.0442,96,580
Kryptosphere HD 20,315,3.470,0.035,128,960
Kryptosphere HD 25,245,3.470,0.035,128,815
Kryptosphere HD 35,140,3.470,0.035,128,580
Carboprop 12/18,1900,3.267,0.0367,112,1328
Carboprop 16/20,875,3.267,0.0367,113,0
Carboprop 16/30,875,3.267,0.0367,112,936
Carboprop 20/40,455,3.267,0.0367,116,672
Carboprop 30/60,175,3.267,0.0367,117,453
Carboprop 40/70,140,3.267,0.0367,117,324
CarboHSP 12/18,2740,3.610,0.0332,130,1291
CarboHSP 16/20,1205,3.610,0.0332,130,1048
CarboHSP 16/30,1205,3.610,0.0332,125,956
CarboHSP 20/40,540,3.610,0.0332,124,697
CarboHSP 30/50,255,3.610,0.0332,130,430
Hydroprop 40/80,80,2.600,0.0460,91,325
Versalite 20/40,514,2.650,0.0450,93.6,740
Bauxlite 20/40,411,2.650,0.0450,93.6,710
Bauxlite 30/50,248,2.650,0.0450,93.6,470
Bauxlite 40/80,91,2.650,0.0450,93.6,330
Interprop 12/18,2000,3.200,0.0374,117,1367
Interprop 16/30,1020,3.200,0.0374,117,974
Interprop 20/40,485,3.200,0.0374,117,687
Interprop 30/50,192,3.200,0.0374,117,485
Interprop 40/80,83,3.200,0.0374,117,0
Versaprop 20/40,573,3.200,0.0374,117,740
Ultraprop 20/40,585,3.500,0.0347,127,740
Sintered Bauxite 16/30,1098,3.500,0.0347,127,950
Sintered Bauxite 20/40,424,3.500,0.0347,127,710
Sintered Bauxite 30/50,185,3.500,0.0347,127,470
Sintered Bauxite 40/80,88,3.500,0.0347,127,330
Titan,317,3.650,0.0328,137,740
